"id","mes","precipitacion_acumulada"
"NH0046",1973-01-01,90.4
"NH0046",1973-02-01,203.9
"NH0046",1973-03-01,197.2
"NH0046",1973-04-01,99.2
"NH0046",1973-05-01,4.4
"NH0046",1973-06-01,160
"NH0046",1973-07-01,68.6
"NH0046",1973-08-01,4
"NH0046",1973-09-01,9
"NH0046",1973-10-01,128.4
"NH0046",1973-11-01,89.7
"NH0046",1973-12-01,68.7
"NH0046",1974-01-01,100.4
"NH0046",1974-02-01,90.3
"NH0046",1974-03-01,67
"NH0046",1974-04-01,0.6
"NH0046",1974-05-01,67.4
"NH0046",1974-06-01,26.8
"NH0046",1974-07-01,74.4
"NH0046",1974-08-01,8.7
"NH0046",1974-09-01,57
"NH0046",1974-10-01,50.3
"NH0046",1974-11-01,42.9
"NH0046",1974-12-01,124.4
"NH0046",1975-01-01,93.1
"NH0046",1975-02-01,91
"NH0046",1975-03-01,119.6
"NH0046",1975-04-01,74.6
"NH0046",1975-05-01,55
"NH0046",1975-06-01,78
"NH0046",1975-07-01,4.3
"NH0046",1975-08-01,42.9
"NH0046",1975-09-01,103.9
"NH0046",1975-10-01,53.1
"NH0046",1975-11-01,60.2
"NH0046",1975-12-01,25.3
"NH0046",1976-01-01,237.5
"NH0046",1976-02-01,98.5
"NH0046",1976-03-01,63.2
"NH0046",1976-04-01,62.2
"NH0046",1976-05-01,129
"NH0046",1976-06-01,4.3
"NH0046",1976-07-01,6.6
"NH0046",1976-08-01,121.8
"NH0046",1976-09-01,23.7
"NH0046",1976-10-01,105.4
"NH0046",1976-11-01,117.4
"NH0046",1976-12-01,231.4
"NH0046",1977-01-01,90.7
"NH0046",1977-02-01,322.6
"NH0046",1977-03-01,101
"NH0046",1977-04-01,20.6
"NH0046",1977-05-01,33.1
"NH0046",1977-06-01,52.8
"NH0046",1977-07-01,37.6
"NH0046",1977-08-01,75.2
"NH0046",1977-09-01,111
"NH0046",1977-10-01,110.3
"NH0046",1977-11-01,77.9
"NH0046",1977-12-01,160.4
"NH0046",1978-01-01,220.3
"NH0046",1978-02-01,67
"NH0046",1978-03-01,202.9
"NH0046",1978-04-01,17.5
"NH0046",1978-05-01,4.8
"NH0046",1978-06-01,17.1
"NH0046",1978-07-01,90.8
"NH0046",1978-08-01,0.7
"NH0046",1978-09-01,181.1
"NH0046",1978-10-01,81.5
"NH0046",1978-11-01,125.1
"NH0046",1978-12-01,162.8
"NH0046",1979-01-01,77.5
"NH0046",1979-02-01,87.8
"NH0046",1979-03-01,176.7
"NH0046",1979-04-01,48.6
"NH0046",1979-05-01,3.9
"NH0046",1979-06-01,75.5
"NH0046",1979-07-01,7.1
"NH0046",1979-08-01,21.5
"NH0046",1979-09-01,43.3
"NH0046",1979-10-01,119.2
"NH0046",1979-11-01,167.8
"NH0046",1979-12-01,120.7
"NH0046",1980-01-01,37.1
"NH0046",1980-02-01,170.6
"NH0046",1980-03-01,159
"NH0046",1980-04-01,177.2
"NH0046",1980-05-01,53.9
"NH0046",1980-06-01,41
"NH0046",1980-07-01,25.7
"NH0046",1980-08-01,23.7
"NH0046",1980-09-01,47.5
"NH0046",1980-10-01,106.4
"NH0046",1980-11-01,76.3
"NH0046",1980-12-01,92.6
"NH0046",1981-01-01,281.5
"NH0046",1981-02-01,80.8
"NH0046",1981-03-01,41.7
"NH0046",1981-04-01,192.5
"NH0046",1981-05-01,119.8
"NH0046",1981-06-01,20.7
"NH0046",1981-07-01,54.2
"NH0046",1981-08-01,8.2
"NH0046",1981-09-01,4.2
"NH0046",1981-10-01,39.2
"NH0046",1981-11-01,157.5
"NH0046",1981-12-01,63.8
"NH0046",1982-01-01,132.9
"NH0046",1982-02-01,227.8
"NH0046",1982-03-01,73.3
"NH0046",1982-04-01,86.9
"NH0046",1982-05-01,19.7
"NH0046",1982-06-01,19.4
"NH0046",1982-07-01,10.9
"NH0046",1982-08-01,2.7
"NH0046",1982-09-01,145.3
"NH0046",1982-10-01,105.6
"NH0046",1982-11-01,53.6
"NH0046",1982-12-01,40.3
"NH0046",1983-01-01,18.8
"NH0046",1983-02-01,121.5
"NH0046",1983-03-01,46.8
"NH0046",1983-04-01,63.7
"NH0046",1983-05-01,56.3
"NH0046",1983-06-01,13.2
"NH0046",1983-07-01,2.3
"NH0046",1983-08-01,46.7
"NH0046",1983-09-01,21.6
"NH0046",1983-10-01,126.4
"NH0046",1983-11-01,107.7
"NH0046",1983-12-01,93.8
"NH0046",1984-01-01,49.3
"NH0046",1984-02-01,432.1
"NH0046",1984-03-01,120.5
"NH0046",1984-04-01,24.4
"NH0046",1984-05-01,6.1
"NH0046",1984-06-01,17.1
"NH0046",1984-07-01,7.9
"NH0046",1984-08-01,20.3
"NH0046",1984-09-01,102.8
"NH0046",1984-10-01,83.8
"NH0046",1984-11-01,70.2
"NH0046",1984-12-01,66.5
"NH0046",1985-01-01,10
"NH0046",1985-02-01,70.1
"NH0046",1985-03-01,82.8
"NH0046",1985-04-01,119.6
"NH0046",1985-05-01,14.3
"NH0046",1985-06-01,36.2
"NH0046",1985-07-01,61.2
"NH0046",1985-08-01,39.3
"NH0046",1985-09-01,106.8
"NH0046",1985-10-01,141.5
"NH0046",1985-11-01,37.4
"NH0046",1985-12-01,141.8
"NH0046",1986-01-01,372.8
"NH0046",1986-02-01,77.1
"NH0046",1986-03-01,40.9
"NH0046",1986-04-01,286.9
"NH0046",1986-05-01,22.2
"NH0046",1986-06-01,53.7
"NH0046",1986-07-01,0.7
"NH0046",1986-08-01,33.4
"NH0046",1986-09-01,41.1
"NH0046",1986-10-01,61
"NH0046",1986-11-01,207.5
"NH0046",1986-12-01,66.4
"NH0046",1987-01-01,82.1
"NH0046",1987-02-01,92.6
"NH0046",1987-03-01,250
"NH0046",1987-04-01,100.2
"NH0046",1987-05-01,63.7
"NH0046",1987-06-01,0
"NH0046",1987-07-01,49.5
"NH0046",1987-08-01,35.8
"NH0046",1987-09-01,12.9
"NH0046",1987-10-01,79.2
"NH0046",1987-11-01,121.1
"NH0046",1987-12-01,128.2
"NH0046",1988-01-01,97.9
"NH0046",1988-02-01,58.5
"NH0046",1988-03-01,385.2
"NH0046",1988-04-01,39.9
"NH0046",1988-05-01,0
"NH0046",1988-06-01,1.5
"NH0046",1988-07-01,33.3
"NH0046",1988-08-01,7.5
"NH0046",1988-09-01,59.1
"NH0046",1988-10-01,72.8
"NH0046",1988-11-01,27.2
"NH0046",1988-12-01,51.6
"NH0046",1989-01-01,79.7
"NH0046",1989-02-01,64.6
"NH0046",1989-03-01,123.2
"NH0046",1989-04-01,86.4
"NH0046",1989-05-01,40
"NH0046",1989-06-01,50
"NH0046",1989-07-01,23.1
"NH0046",1989-08-01,85.5
"NH0046",1989-09-01,11.5
"NH0046",1989-10-01,81.6
"NH0046",1989-11-01,125.1
"NH0046",1989-12-01,133.7
"NH0046",1990-01-01,152
"NH0046",1990-02-01,97.7
"NH0046",1990-03-01,118.2
"NH0046",1990-04-01,85.8
"NH0046",1990-05-01,40.8
"NH0046",1990-06-01,1.4
"NH0046",1990-07-01,24.4
"NH0046",1990-08-01,26
"NH0046",1990-09-01,12.7
"NH0046",1990-10-01,193.7
"NH0046",1990-11-01,189.1
"NH0046",1990-12-01,255.4
"NH0046",1991-01-01,150.4
"NH0046",1991-02-01,17.8
"NH0046",1991-03-01,142
"NH0046",1991-04-01,195.4
"NH0046",1991-05-01,69.5
"NH0046",1991-06-01,89.2
"NH0046",1991-07-01,22
"NH0046",1991-08-01,47.9
"NH0046",1991-09-01,34.2
"NH0046",1991-10-01,87.2
"NH0046",1991-11-01,71.5
"NH0046",1991-12-01,241.2
"NH0046",1992-01-01,81.1
"NH0046",1992-02-01,105
"NH0046",1992-03-01,104.7
"NH0046",1992-04-01,74
"NH0046",1992-05-01,26.1
"NH0046",1992-06-01,180.9
"NH0046",1992-07-01,24
"NH0046",1992-08-01,64.1
"NH0046",1992-09-01,30.8
"NH0046",1992-10-01,56.8
"NH0046",1992-11-01,157.8
"NH0046",1992-12-01,104.5
"NH0046",1993-01-01,147
"NH0046",1993-02-01,36.1
"NH0046",1993-03-01,98.8
"NH0046",1993-04-01,143.5
"NH0046",1993-05-01,123
"NH0046",1993-06-01,45.5
"NH0046",1993-07-01,11.3
"NH0046",1993-08-01,39.2
"NH0046",1993-09-01,26
"NH0046",1993-10-01,196.7
"NH0046",1993-11-01,125.4
"NH0046",1993-12-01,165.8
"NH0046",1994-01-01,72.2
"NH0046",1994-02-01,30.1
"NH0046",1994-03-01,152.8
"NH0046",1994-04-01,184
"NH0046",1994-05-01,134.5
"NH0046",1994-06-01,37.7
"NH0046",1994-07-01,11.5
"NH0046",1994-08-01,18.1
"NH0046",1994-09-01,8.4
"NH0046",1994-10-01,121.6
"NH0046",1994-11-01,60.7
"NH0046",1994-12-01,76.8
"NH0046",1995-01-01,196.2
"NH0046",1995-02-01,59
"NH0046",1995-03-01,171.1
"NH0046",1995-04-01,86.5
"NH0046",1995-05-01,10.7
"NH0046",1995-06-01,4.7
"NH0046",1995-07-01,0.6
"NH0046",1995-08-01,0
"NH0046",1995-09-01,24.6
"NH0046",1995-10-01,101.1
"NH0046",1995-11-01,80.4
"NH0046",1995-12-01,69.9
"NH0046",1996-01-01,80.9
"NH0046",1996-02-01,232.1
"NH0046",1996-03-01,102
"NH0046",1996-04-01,94.5
"NH0046",1996-05-01,61.8
"NH0046",1996-06-01,3.5
"NH0046",1996-07-01,0.2
